Figure,Setting,Indicator,Group,Subgroup,Time,Start_Time,End_Time,Value,Measure
0,ED,,,,12,03/18/2020 12:00:00 AM,03/24/2020 12:00:00 AM,27904.0,Number of encounters
0,ED,,,,13,03/25/2020 12:00:00 AM,03/31/2020 12:00:00 AM,22539.0,Number of encounters
0,ED,,,,14,04/01/2020 12:00:00 AM,04/07/2020 12:00:00 AM,19025.0,Number of encounters
0,ED,,,,15,04/08/2020 12:00:00 AM,04/14/2020 12:00:00 AM,17672.0,Number of encounters
0,ED,,,,16,04/15/2020 12:00:00 AM,04/21/2020 12:00:00 AM,17983.0,Number of encounters
0,ED,,,,17,04/22/2020 12:00:00 AM,04/28/2020 12:00:00 AM,18343.0,Number of encounters
0,ED,,,,18,04/29/2020 12:00:00 AM,05/05/2020 12:00:00 AM,19332.0,Number of encounters
0,ED,,,,19,05/06/2020 12:00:00 AM,05/12/2020 12:00:00 AM,19673.0,Number of encounters
0,ED,,,,20,05/13/2020 12:00:00 AM,05/19/2020 12:00:00 AM,21673.0,Number of encounters
0,ED,,,,21,05/20/2020 12:00:00 AM,05/26/2020 12:00:00 AM,23186.0,Number of encounters
0,ED,,,,22,05/27/2020 12:00:00 AM,06/02/2020 12:00:00 AM,23642.0,Number of encounters
0,ED,,,,23,06/03/2020 12:00:00 AM,06/09/2020 12:00:00 AM,24957.0,Number of encounters
0,ED,,,,24,06/10/2020 12:00:00 AM,06/16/2020 12:00:00 AM,25662.0,Number of encounters
0,ED,,,,25,06/17/2020 12:00:00 AM,06/23/2020 12:00:00 AM,26497.0,Number of encounters
0,ED,,,,26,06/24/2020 12:00:00 AM,06/30/2020 12:00:00 AM,28106.0,Number of encounters
0,ED,,,,27,07/01/2020 12:00:00 AM,07/07/2020 12:00:00 AM,28578.0,Number of encounters
0,ED,,,,28,07/08/2020 12:00:00 AM,07/14/2020 12:00:00 AM,28765.0,Number of encounters
0,ED,,,,29,07/15/2020 12:00:00 AM,07/21/2020 12:00:00 AM,28537.0,Number of encounters
0,ED,,,,30,07/22/2020 12:00:00 AM,07/28/2020 12:00:00 AM,28483.0,Number of encounters
0,ED,,,,31,07/29/2020 12:00:00 AM,08/04/2020 12:00:00 AM,28129.0,Number of encounters
0,ED,,,,32,08/05/2020 12:00:00 AM,08/11/2020 12:00:00 AM,28702.0,Number of encounters
0,ED,,,,33,08/12/2020 12:00:00 AM,08/18/2020 12:00:00 AM,28943.0,Number of encounters
0,ED,,,,34,08/19/2020 12:00:00 AM,08/25/2020 12:00:00 AM,28825.0,Number of encounters
0,ED,,,,35,08/26/2020 12:00:00 AM,09/01/2020 12:00:00 AM,28590.0,Number of encounters
0,ED,,,,36,09/02/2020 12:00:00 AM,09/08/2020 12:00:00 AM,29141.0,Number of encounters
0,ED,,,,37,09/09/2020 12:00:00 AM,09/15/2020 12:00:00 AM,28932.0,Number of encounters
0,ED,,,,38,09/16/2020 12:00:00 AM,09/22/2020 12:00:00 AM,28650.0,Number of encounters
0,ED,,,,39,09/23/2020 12:00:00 AM,09/29/2020 12:00:00 AM,29432.0,Number of encounters
0,ED,,,,40,09/30/2020 12:00:00 AM,10/06/2020 12:00:00 AM,29945.0,Number of encounters
0,ED,,,,41,10/07/2020 12:00:00 AM,10/13/2020 12:00:00 AM,29715.0,Number of encounters
0,ED,,,,42,10/14/2020 12:00:00 AM,10/20/2020 12:00:00 AM,29275.0,Number of encounters
0,ED,,,,43,10/21/2020 12:00:00 AM,10/27/2020 12:00:00 AM,28705.0,Number of encounters
0,ED,,,,44,10/28/2020 12:00:00 AM,11/03/2020 12:00:00 AM,28048.0,Number of encounters
0,ED,,,,45,11/04/2020 12:00:00 AM,11/10/2020 12:00:00 AM,30276.0,Number of encounters
0,ED,,,,46,11/11/2020 12:00:00 AM,11/17/2020 12:00:00 AM,29350.0,Number of encounters
0,ED,,,,47,11/18/2020 12:00:00 AM,11/24/2020 12:00:00 AM,28854.0,Number of encounters
0,ED,,,,48,11/25/2020 12:00:00 AM,12/01/2020 12:00:00 AM,27635.0,Number of encounters
0,ED,,,,49,12/02/2020 12:00:00 AM,12/08/2020 12:00:00 AM,28924.0,Number of encounters
0,ED,,,,50,12/09/2020 12:00:00 AM,12/15/2020 12:00:00 AM,27831.0,Number of encounters
0,ED,,,,51,12/16/2020 12:00:00 AM,12/22/2020 12:00:00 AM,26801.0,Number of encounters
0,ED,,,,52,12/23/2020 12:00:00 AM,12/29/2020 12:00:00 AM,24238.0,Number of encounters
0,ED,,,,53,12/30/2020 12:00:00 AM,01/05/2021 12:00:00 AM,27069.0,Number of encounters
