Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
2021-08-02T00:00:00,<12 Years,4.265237783,0.005,0.003
2021-08-02T00:00:00,12 - 15 Years,5.547360561,0.395,0.29
2021-08-02T00:00:00,16 - 17 Years,6.790707618,0.502,0.403
2021-08-02T00:00:00,18 - 24 Years,9.113409532,0.537,0.44
2021-08-02T00:00:00,25 - 39 Years,8.969173185,0.577,0.488
2021-08-02T00:00:00,40 - 49 Years,6.964393842,0.673,0.58
2021-08-02T00:00:00,50 - 64 Years,4.871959899,0.767,0.674
2021-08-02T00:00:00,65 - 74 Years,3.143290536,0.92,0.819
2021-08-02T00:00:00,75+ Years,3.302116114,0.875,0.779
2021-08-01T00:00:00,<12 Years,5.388514242,0.005,0.003
2021-08-01T00:00:00,12 - 15 Years,6.975630788,0.393,0.289
2021-08-01T00:00:00,16 - 17 Years,8.582269242,0.5,0.402
2021-08-01T00:00:00,18 - 24 Years,11.33952456,0.536,0.439
2021-08-01T00:00:00,25 - 39 Years,11.20666432,0.576,0.488
2021-08-01T00:00:00,40 - 49 Years,8.735963297,0.672,0.579
2021-08-01T00:00:00,50 - 64 Years,6.121506371,0.766,0.674
2021-08-01T00:00:00,65 - 74 Years,3.931764036,0.919,0.819
2021-08-01T00:00:00,75+ Years,4.112571788,0.874,0.779
2021-07-31T00:00:00,<12 Years,6.060814241,0.005,0.003
2021-07-31T00:00:00,12 - 15 Years,7.890509624,0.389,0.287
2021-07-31T00:00:00,16 - 17 Years,9.77951475,0.497,0.401
2021-07-31T00:00:00,18 - 24 Years,12.69344119,0.534,0.438
2021-07-31T00:00:00,25 - 39 Years,12.60024134,0.574,0.487
2021-07-31T00:00:00,40 - 49 Years,9.88996364,0.67,0.578
2021-07-31T00:00:00,50 - 64 Years,6.879089325,0.765,0.673
2021-07-31T00:00:00,65 - 74 Years,4.420371605,0.918,0.818
2021-07-31T00:00:00,75+ Years,4.622962559,0.874,0.778
2021-07-30T00:00:00,<12 Years,6.552842648,0.005,0.003
2021-07-30T00:00:00,12 - 15 Years,8.538869136,0.386,0.285
2021-07-30T00:00:00,16 - 17 Years,10.6391198,0.494,0.399
2021-07-30T00:00:00,18 - 24 Years,13.61007679,0.532,0.437
2021-07-30T00:00:00,25 - 39 Years,13.59170322,0.572,0.486
2021-07-30T00:00:00,40 - 49 Years,10.66236792,0.668,0.577
2021-07-30T00:00:00,50 - 64 Years,7.38807973,0.763,0.672
2021-07-30T00:00:00,65 - 74 Years,4.754168617,0.917,0.818
2021-07-30T00:00:00,75+ Years,4.939152446,0.873,0.777
2021-07-29T00:00:00,<12 Years,6.981210789,0.005,0.003
2021-07-29T00:00:00,12 - 15 Years,9.069345099,0.381,0.283
2021-07-29T00:00:00,16 - 17 Years,11.32473665,0.49,0.397
2021-07-29T00:00:00,18 - 24 Years,14.22605213,0.529,0.435
2021-07-29T00:00:00,25 - 39 Years,14.27603777,0.57,0.485
2021-07-29T00:00:00,40 - 49 Years,11.24627722,0.666,0.576
2021-07-29T00:00:00,50 - 64 Years,7.81851943,0.762,0.671
2021-07-29T00:00:00,65 - 74 Years,5.015437942,0.916,0.817
2021-07-29T00:00:00,75+ Years,5.136157675,0.872,0.777
2021-07-28T00:00:00,<12 Years,6.856270081,0.005,0.003
2021-07-28T00:00:00,12 - 15 Years,8.886540178,0.378,0.281
2021-07-28T00:00:00,16 - 17 Years,11.28511558,0.488,0.396
2021-07-28T00:00:00,18 - 24 Years,13.98022928,0.527,0.434
2021-07-28T00:00:00,25 - 39 Years,14.04722264,0.569,0.484
2021-07-28T00:00:00,40 - 49 Years,11.04715281,0.665,0.575
2021-07-28T00:00:00,50 - 64 Years,7.74632543,0.76,0.67
2021-07-28T00:00:00,65 - 74 Years,4.976841337,0.915,0.816
2021-07-28T00:00:00,75+ Years,5.084978381,0.872,0.776
2021-07-27T00:00:00,<12 Years,6.69949924,0.005,0.003
2021-07-27T00:00:00,12 - 15 Years,8.725090972,0.374,0.279
2021-07-27T00:00:00,16 - 17 Years,11.1335219,0.484,0.394
2021-07-27T00:00:00,18 - 24 Years,13.71786066,0.525,0.433
2021-07-27T00:00:00,25 - 39 Years,13.88363249,0.567,0.483
2021-07-27T00:00:00,40 - 49 Years,10.90542725,0.663,0.574
