,id,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,host_acceptance_rate,host_identity_verified,review_scores_cleanliness,review_scores_value,host_identity_verified_new,host_behavior,number_of_bookings,month,monthly_bookings,Region
0,9835,33057,Manningham,-37.77268,145.09213,Private room in house,Private room,2,60.0,0.0,f,10.0,9.0,f,Bad,0,1,0,North-East
1,882704,4625432,Manningham,-37.77401,145.11021,Private room in house,Private room,4,66.0,1.0,t,10.0,10.0,t,Good,11,8,11,North-East
2,1899660,8013201,Manningham,-37.75656,145.12794,Private room in apartment,Private room,1,35.0,0.73,t,10.0,10.0,t,Good,185,3,31,North-East
3,2533320,12975108,Manningham,-37.78685,145.12679,Entire apartment,Entire home/apt,6,125.0,1.0,t,10.0,10.0,t,Good,1,8,1,North-East
4,4000736,5528095,Manningham,-37.75742,145.25131,Entire bungalow,Entire home/apt,4,150.0,1.0,t,10.0,10.0,t,Good,0,1,0,North-East
5,4933209,25412882,Manningham,-37.74222,145.20208,Entire guesthouse,Entire home/apt,4,40.0,0.98,t,10.0,10.0,t,Good,364,1,31,North-East
6,5232429,27080368,Manningham,-37.77293,145.22808,Private room in guest suite,Private room,1,52.0,0.91,t,10.0,10.0,t,Good,41,9,30,North-East
7,5583818,27080368,Manningham,-37.76766,145.228,Entire guest suite,Entire home/apt,3,94.0,0.91,t,10.0,10.0,t,Good,14,8,11,North-East
8,5808188,4625432,Manningham,-37.77364,145.11086,Private room in house,Private room,2,50.0,1.0,t,10.0,9.0,t,Good,11,8,11,North-East
9,5816182,17695853,Manningham,-37.79207,145.15853,Private room in villa,Private room,2,88.0,1.0,t,9.0,9.0,t,Good,276,1,31,North-East
10,6379076,33175860,Manningham,-37.72685,145.27419,Entire house,Entire home/apt,2,164.0,0.97,t,10.0,9.0,t,Good,43,10,29,North-East
11,6766861,10785219,Manningham,-37.78588,145.13897,Entire townhouse,Entire home/apt,8,210.0,0.97,t,10.0,10.0,t,Good,103,10,31,North-East
12,7655167,40177435,Manningham,-37.73588,145.23086,Entire cottage,Entire home/apt,4,170.0,1.0,f,10.0,10.0,f,Average,159,1,31,North-East
13,7780598,10785219,Manningham,-37.78692,145.13944,Entire townhouse,Entire home/apt,6,190.0,0.97,t,10.0,10.0,t,Good,1,8,1,North-East
14,8788289,46059828,Manningham,-37.78538,145.13659,Private room in house,Private room,2,70.0,0.88,t,10.0,10.0,t,Good,1,8,1,North-East
15,8852884,46031452,Manningham,-37.78452,145.13362,Private room in townhouse,Private room,1,39.0,0.97,f,10.0,10.0,f,Average,1,8,1,North-East
16,8852933,46031452,Manningham,-37.78679,145.13499,Private room in townhouse,Private room,1,41.0,0.97,f,10.0,10.0,f,Average,1,8,1,North-East
17,9078589,47345389,Manningham,-37.79388,145.1338,Entire house,Entire home/apt,6,153.0,0.92,t,8.0,9.0,t,Good,2,8,2,North-East
18,9997898,33175860,Manningham,-37.72732,145.27438,Entire apartment,Entire home/apt,2,130.0,0.97,t,10.0,10.0,t,Good,10,9,7,North-East
19,10595535,34247003,Manningham,-37.78678,145.20601,Entire house,Entire home/apt,8,257.0,0.99,t,10.0,10.0,t,Good,365,1,31,North-East
20,11516004,60700650,Manningham,-37.76432,145.08545,Room in boutique hotel,Private room,5,250.0,0.0,f,10.0,10.0,f,Bad,3,8,3,North-East
21,11684662,17695853,Manningham,-37.77782,145.17389,Private room in villa,Private room,1,58.0,1.0,t,10.0,10.0,t,Good,275,1,31,North-East
22,11804959,55820852,Manningham,-37.76751,145.16567,Private room in house,Private room,2,55.0,0.96,f,10.0,10.0,f,Average,11,8,11,North-East
23,12191861,17695853,Manningham,-37.77991,145.1748,Private room in villa,Private room,4,108.0,1.0,t,9.0,10.0,t,Good,275,1,31,North-East
24,12635395,43050141,Manningham,-37.72497,145.28485,Entire apartment,Entire home/apt,2,96.0,0.99,t,10.0,10.0,t,Good,205,4,30,North-East
25,12637685,43050141,Manningham,-37.77671,145.16635,Entire apartment,Entire home/apt,6,162.0,0.99,t,9.0,10.0,t,Good,204,8,31,North-East
26,12819821,69926344,Manningham,-37.75588,145.28518,Entire cottage,Entire home/apt,6,185.0,0.97,t,10.0,10.0,t,Good,4,11,3,North-East
27,13036921,33742229,Manningham,-37.77162,145.13393,Private room in house,Private room,2,71.86,1.0,t,10.0,10.0,t,Good,202,3,31,North-East
28,13162857,43050141,Manningham,-37.77646,145.16496,Entire house,Entire home/apt,6,162.0,0.99,t,10.0,10.0,t,Good,359,1,31,North-East
29,14141279,43050141,Manningham,-37.77008,145.17569,Entire house,Entire home/apt,7,180.0,0.99,t,9.0,9.0,t,Good,182,1,31,North-East
30,14360559,43050141,Manningham,-37.78867,145.12358,Entire apartment,Entire home/apt,4,147.0,0.99,t,10.0,9.0,t,Good,149,5,31,North-East
31,14635391,17695853,Manningham,-37.77927,145.17493,Private room in villa,Private room,3,108.0,1.0,t,10.0,10.0,t,Good,276,1,31,North-East
32,15377919,43050141,Manningham,-37.79633,145.1289,Entire house,Entire home/apt,6,162.0,0.99,t,10.0,10.0,t,Good,163,5,31,North-East
33,15516535,81743692,Manningham,-37.78638,145.12496,Private room in house,Private room,2,70.0,1.0,f,9.0,8.0,f,Average,274,1,31,North-East
34,15856353,81743692,Manningham,-37.7835,145.13872,Private room in villa,Private room,2,70.0,1.0,f,10.0,10.0,f,Average,1,8,1,North-East
35,16167173,73154003,Manningham,-37.76488,145.09862,Private room in house,Private room,2,55.0,0.33,t,10.0,10.0,t,Average,186,3,31,North-East
36,16208472,81743692,Manningham,-37.78253,145.14018,Private room in house,Private room,2,70.0,1.0,f,10.0,8.0,f,Average,185,3,31,North-East
37,16406239,107487271,Manningham,-37.7914,145.12177,Private room in villa,Private room,2,45.0,0.97,t,9.0,9.0,t,Good,0,1,0,North-East
38,16707101,7030240,Manningham,-37.74866,145.18347,Entire apartment,Entire home/apt,2,90.0,0.9,t,10.0,10.0,t,Good,11,8,11,North-East
39,17318365,116883413,Manningham,-37.74991,145.18214,Entire guesthouse,Entire home/apt,5,146.0,1.0,t,10.0,10.0,t,Good,167,7,31,North-East
40,17337112,117081326,Manningham,-37.74106,145.23035,Entire cottage,Entire home/apt,2,138.0,1.0,f,10.0,9.0,f,Average,19,2,7,North-East
41,18026070,123979832,Manningham,-37.78796,145.13056,Private room in apartment,Private room,2,34.0,0.56,f,10.0,10.0,f,Average,190,3,31,North-East
42,18511786,120802179,Manningham,-37.77579,145.12252,Entire house,Entire home/apt,6,150.0,0.0,t,10.0,10.0,t,Average,71,9,30,North-East
43,18634594,40395576,Manningham,-37.74654,145.20695,Entire villa,Entire home/apt,8,295.0,0.98,t,9.0,9.0,t,Good,20,8,8,North-East
44,19217982,25369146,Manningham,-37.78906,145.12564,Entire apartment,Entire home/apt,2,74.0,0.4,t,9.0,9.0,t,Average,245,1,31,North-East
45,19256708,88652023,Manningham,-37.76598,145.18253,Private room in townhouse,Private room,2,65.0,1.0,t,10.0,9.0,t,Good,3,8,3,North-East
46,19596174,66815244,Manningham,-37.78171,145.10926,Entire townhouse,Entire home/apt,14,328.0,1.0,t,10.0,10.0,t,Good,276,1,31,North-East
47,19662317,66815244,Manningham,-37.7822,145.10843,Entire townhouse,Entire home/apt,6,150.0,1.0,t,10.0,9.0,t,Good,187,3,31,North-East
48,20094111,38202932,Manningham,-37.7761,145.23208,Entire cabin,Entire home/apt,6,88.0,1.0,t,10.0,9.0,t,Good,53,9,24,North-East
49,20572908,74429985,Manningham,-37.77765,145.16503,Entire house,Entire home/apt,12,219.0,0.95,t,10.0,10.0,t,Good,18,12,9,North-East
50,21012274,151299817,Manningham,-37.78426,145.12829,Entire apartment,Entire home/apt,2,105.0,0.98,t,10.0,10.0,t,Good,11,8,11,North-East
51,21236676,28675805,Manningham,-37.75139,145.21041,Entire guest suite,Entire home/apt,2,105.0,0.98,t,10.0,10.0,t,Good,257,3,31,North-East
52,21461243,9571666,Manningham,-37.76996,145.11148,Entire house,Entire home/apt,16,218.0,0.93,t,9.0,10.0,t,Good,185,3,31,North-East
53,21649854,50626167,Manningham,-37.78916,145.12355,Entire apartment,Entire home/apt,4,150.0,0.98,t,8.0,9.0,t,Good,332,1,31,North-East
